review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000010,ORD-20250925-101439,CUST-10057,REST-AUH-002,Mixed feelings. Chicken Tikka Masala  Gajar Halwa  Kulfi  and Naan were acceptable. Chicken Tikka Masala was decent but portion was small for the price.,3,2025-10-01T10:28:32.407466
REV-000012,ORD-20250928-241022,CUST-10128,REST-AUH-002,Decent food but nothing special. Garlic Naan  Mango Lassi  Chicken 65  and Fresh Lime Soda were okay. Garlic Naan lacked the punch I expected.,3,2025-10-04T15:04:27.407466
REV-000013,ORD-20251003-492278,CUST-10083,REST-DXB-002,Very satisfied! Gulab Jamun (2 pcs)  Kulfi  Palak Paneer  and Tandoori Roti were fresh and flavorful. Tandoori Roti was the standout dish.,4,2025-10-10T10:40:46.407466
REV-000015,ORD-20251008-487897,CUST-10146,REST-DXB-001,Pleasant meal! Aloo Tikki Chaat and Fish Curry arrived warm. Aloo Tikki Chaat was tasty though not exceptional. Would order again.,4,2025-10-13T15:37:12.407466
REV-000014,ORD-20251007-270872,CUST-10489,REST-AUH-002,Pleasant meal! Gulab Jamun (2 pcs) and Rasmalai (2 pcs) arrived warm. Gulab Jamun (2 pcs) was tasty though not exceptional. Would order again.,4,2025-10-14T12:39:13.407466
REV-000019,ORD-20251015-617660,CUST-10082,REST-AUH-001,Very satisfied! Gulab Jamun (2 pcs)  Gajar Halwa  Garlic Naan  Aloo Tikki Chaat  and Masala Chai were fresh and flavorful. Masala Chai was the standout dish.,4,2025-10-16T20:11:45.407466
REV-000016,ORD-20251012-720267,CUST-10137,REST-DXB-001,Decent food but nothing special. Paneer Tikka were okay. Paneer Tikka lacked the punch I expected.,3,2025-10-17T14:07:02.407466
REV-000017,ORD-20251012-777351,CUST-10359,REST-DXB-002,Great food overall. Samosa (2 pcs) and Tandoori Roti were tasty  especially the Tandoori Roti. Would order again!,4,2025-10-18T17:24:52.407466
REV-000018,ORD-20251015-475120,CUST-10151,REST-AUH-002,Wow! Just wow! Rasmalai (2 pcs) and Chole Bhature were all fantastic. Rasmalai (2 pcs) was particularly memorable. Can't wait to order again!,5,2025-10-19T16:59:34.407466
REV-000020,ORD-20251016-622578,CUST-10391,REST-AUH-001,Exceptional quality! Ordered Sweet Lassi and Gajar Halwa and everything was delicious. The Gajar Halwa melted in my mouth. Perfect!,5,2025-10-21T17:38:58.407466
REV-000022,ORD-20251022-773972,CUST-10004,REST-SHJ-001,Shocking! Sweet Lassi  Chicken 65  and Palak Paneer bore no resemblance to the menu description. Palak Paneer was inedible. Refund demanded!,1,2025-10-24T10:35:49.407466
REV-000023,ORD-20251022-253769,CUST-10394,REST-AUH-001,Average experience. Jeera Rice  Chicken Biryani  Dal Makhani  Sweet Lassi  and Samosa (2 pcs) were fine but Sweet Lassi was a bit bland. Room for improvement.,3,2025-10-24T19:16:11.407466
REV-000021,ORD-20251020-781555,CUST-10113,REST-SHJ-001,Good quality food. Garlic Naan were nicely done. Garlic Naan could have been slightly spicier but still good!,4,2025-10-26T16:58:09.407466
REV-000024,ORD-20251023-954032,CUST-10135,REST-AUH-002,Exceptional quality! Ordered Masala Chai  Naan  and Palak Paneer and everything was delicious. The Masala Chai melted in my mouth. Perfect!,5,2025-10-26T19:22:49.407466
REV-000026,ORD-20251028-710499,CUST-10473,REST-AUH-002,Absolutely amazing Rasmalai (2 pcs)! The Rasmalai (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-01T15:54:34.407466
REV-000028,ORD-20251031-248137,CUST-10031,REST-DXB-001,Appalling quality! Malai Kofta  Chicken Biryani  Chicken Seekh Kebab  and Samosa (2 pcs) were swimming in oil. Malai Kofta was raw inside. Health hazard!,1,2025-11-01T15:56:44.407466
REV-000025,ORD-20251028-244664,CUST-10191,REST-DXB-002,Best Indian food in UAE! Chicken 65 were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2025-11-02T15:40:51.407466
REV-000027,ORD-20251031-311653,CUST-10455,REST-AUH-001,Good quality food. Aloo Tikki Chaat  Dal Makhani  Masala Chai  and Fresh Lime Soda were nicely done. Aloo Tikki Chaat could have been slightly spicier but still good!,4,2025-11-04T14:55:27.407466
REV-000029,ORD-20251101-407963,CUST-10386,REST-DXB-002,Enjoyed the Chicken Seekh Kebab  Chole Bhature  and Paneer Tikka! Chicken Seekh Kebab was very good. Portion sizes were generous. Recommend!,4,2025-11-04T17:07:06.407466
REV-000030,ORD-20251105-940551,CUST-10318,REST-DXB-001,Absolutely amazing Garlic Naan  Mango Lassi  Samosa (2 pcs)  Malai Kofta  and Paneer Tikka! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-10T18:13:07.407466
REV-000031,ORD-20251110-150383,CUST-10317,REST-DXB-001,Great food overall. Paneer Tikka and Kulfi were tasty  especially the Kulfi. Would order again!,4,2025-11-11T17:34:13.407466
REV-000032,ORD-20251110-155285,CUST-10141,REST-SHJ-001,Wow! Just wow! Paneer Butter Masala were all fantastic. Paneer Butter Masala was particularly memorable. Can't wait to order again!,5,2025-11-11T18:07:09.407466
REV-000033,ORD-20251115-651193,CUST-10237,REST-AUH-002,Hands down the best Rasmalai (2 pcs) I've ever had! Vegetable Biryani  Chicken Tikka Masala  and Rasmalai (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2025-11-18T11:26:14.407466
REV-000035,ORD-20251118-495478,CUST-10287,REST-AUH-001,Wow! Just wow! Paneer Butter Masala  Lamb Rogan Josh  and Chicken Seekh Kebab were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2025-11-19T20:48:29.407466
REV-000036,ORD-20251120-771353,CUST-10419,REST-AUH-002,Solid experience. Rasmalai (2 pcs)  Sweet Lassi  Masala Chai  Gulab Jamun (2 pcs)  and Chole Bhature were well-prepared. Chole Bhature had great flavor. Minor issues with packaging.,4,2025-11-24T14:06:33.407466
REV-000034,ORD-20251118-669028,CUST-10398,REST-AUH-001,Best Indian food in UAE! Rasmalai (2 pcs)  Vegetable Biryani  Chole Bhature  and Chicken Tikka Masala were incredible. Vegetable Biryani had the perfect balance of spices. Five stars!,5,2025-11-24T15:36:35.407466
REV-000037,ORD-20251121-697237,CUST-10126,REST-SHJ-001,Best Indian food in UAE! Garlic Naan  Gulab Jamun (2 pcs)  Rasmalai (2 pcs)  and Fresh Lime Soda were incredible. Garlic Naan had the perfect balance of spices. Five stars!,5,2025-11-28T13:45:14.407466
REV-000038,ORD-20251121-562664,CUST-10238,REST-AUH-002,Below expectations. Gajar Halwa  Chole Bhature  Garlic Naan  Rasmalai (2 pcs)  and Chicken Tikka Masala were underwhelming. Gajar Halwa was overcooked and dry.,2,2025-11-28T18:46:00.407466
REV-000040,ORD-20251128-290758,CUST-10395,REST-DXB-002,Hands down the best Rasmalai (2 pcs) I've ever had! Paneer Butter Masala  Rasmalai (2 pcs)  and Malai Kofta were all prepared beautifully. Fresh and flavorful!,5,2025-11-30T22:43:29.407466
REV-000039,ORD-20251124-159711,CUST-10211,REST-DXB-001,Incredible meal! Aloo Tikki Chaat  Malai Kofta  and Palak Paneer arrived hot and fresh. The Aloo Tikki Chaat was absolutely divine. Highly satisfied!,5,2025-12-01T15:47:38.407466
REV-000041,ORD-20251201-897842,CUST-10406,REST-AUH-001,Great food overall. Lamb Rogan Josh  Sweet Lassi  Mango Lassi  Jeera Rice  and Chicken Seekh Kebab were tasty  especially the Sweet Lassi. Would order again!,4,2025-12-06T17:01:47.407466
REV-000042,ORD-20251207-445509,CUST-10299,REST-SHJ-001,Average experience. Chicken 65  Chicken Tikka Masala  Paneer Butter Masala  and Butter Chicken were fine but Paneer Butter Masala was a bit bland. Room for improvement.,3,2025-12-09T18:21:45.407466
REV-000043,ORD-20251210-339231,CUST-10348,REST-SHJ-001,Pleasant meal! Palak Paneer and Fish Curry arrived warm. Fish Curry was tasty though not exceptional. Would order again.,4,2025-12-11T11:08:06.407466
REV-000044,ORD-20251210-340827,CUST-10266,REST-AUH-002,Really good Malai Kofta  Gajar Halwa  and Naan! The Gajar Halwa was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-11T12:55:08.407466
REV-000046,ORD-20251212-600153,CUST-10238,REST-AUH-001,Best Indian food in UAE! Chicken Biryani and Chicken 65 were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2025-12-13T15:02:41.407466
REV-000045,ORD-20251210-608575,CUST-10186,REST-AUH-002,Good quality food. Jeera Rice and Lamb Rogan Josh were nicely done. Jeera Rice could have been slightly spicier but still good!,4,2025-12-14T15:26:31.407466
REV-000047,ORD-20251217-365801,CUST-10255,REST-AUH-002,Wow! Just wow! Paneer Tikka  Aloo Tikki Chaat  and Malai Kofta were all fantastic. Aloo Tikki Chaat was particularly memorable. Can't wait to order again!,5,2025-12-22T10:36:45.407466
REV-000049,ORD-20251220-553677,CUST-10130,REST-DXB-002,Solid experience. Naan  Masala Chai  and Chicken Seekh Kebab were well-prepared. Chicken Seekh Kebab had great flavor. Minor issues with packaging.,4,2025-12-24T11:17:08.407466
REV-000048,ORD-20251219-873710,CUST-10291,REST-DXB-001,Pleasant meal! Sweet Lassi arrived warm. Sweet Lassi was tasty though not exceptional. Would order again.,4,2025-12-24T19:12:21.407466
REV-000050,ORD-20251220-996987,CUST-10245,REST-SHJ-001,Absolutely amazing Paneer Butter Masala and Garlic Naan! The Paneer Butter Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-25T22:30:00.407466
REV-000051,ORD-20251224-362423,CUST-10432,REST-DXB-002,Really good Paneer Tikka and Rasmalai (2 pcs)! The Rasmalai (2 pcs) was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-28T19:16:42.407466
REV-000052,ORD-20251225-737497,CUST-10405,REST-AUH-002,Poor experience. Samosa (2 pcs)  Kulfi  Rasmalai (2 pcs)  Aloo Tikki Chaat  and Mango Lassi were disappointing. Samosa (2 pcs) was burnt on the edges. Very unhappy.,2,2025-12-31T19:24:42.407466
REV-000053,ORD-20251226-742880,CUST-10322,REST-SHJ-001,Not good. Naan  Chicken 65  Jeera Rice  and Butter Naan arrived late and cold. Butter Naan had barely any flavor. Poor quality.,2,2026-01-01T21:17:38.407466
REV-000054,ORD-20251231-152749,CUST-10082,REST-DXB-002,Pleasant meal! Rasmalai (2 pcs)  Butter Naan  Vegetable Biryani  and Kulfi arrived warm. Rasmalai (2 pcs) was tasty though not exceptional. Would order again.,4,2026-01-04T12:28:44.407466
REV-000056,ORD-20260104-529483,CUST-10129,REST-DXB-002,Pleasant meal! Aloo Tikki Chaat arrived warm. Aloo Tikki Chaat was tasty though not exceptional. Would order again.,4,2026-01-06T16:43:26.407466
REV-000055,ORD-20260101-690193,CUST-10473,REST-AUH-001,Exceptional quality! Ordered Paneer Tikka  Malai Kofta  Jeera Rice  and Tandoori Roti and everything was delicious. The Paneer Tikka melted in my mouth. Perfect!,5,2026-01-07T10:45:34.407466
REV-000057,ORD-20260104-815844,CUST-10492,REST-SHJ-001,Wow! Just wow! Naan were all fantastic. Naan was particularly memorable. Can't wait to order again!,5,2026-01-11T17:21:31.407466
REV-000058,ORD-20260107-364338,CUST-10289,REST-AUH-002,Very satisfied! Gajar Halwa  Palak Paneer  Fish Curry  and Jeera Rice were fresh and flavorful. Palak Paneer was the standout dish.,4,2026-01-12T14:28:25.407466
REV-000059,ORD-20260111-695110,CUST-10111,REST-AUH-002,Not bad  not great. Chicken Tikka Masala  Jeera Rice  Sweet Lassi  Lamb Rogan Josh  and Vegetable Biryani were edible. Vegetable Biryani needed more seasoning.,3,2026-01-16T10:18:34.407466
REV-000060,ORD-20260112-994766,CUST-10076,REST-DXB-002,Outstanding experience! The Aloo Tikki Chaat  Mango Lassi  Fresh Lime Soda  Lamb Rogan Josh  and Masala Chai exceeded all expectations. Lamb Rogan Josh was the star of the meal. Will definitely order again!,5,2026-01-16T10:19:42.407466
REV-000061,ORD-20260117-355054,CUST-10447,REST-DXB-001,Wow! Just wow! Kulfi  Dal Makhani  Fish Curry  and Fresh Lime Soda were all fantastic. Fish Curry was particularly memorable. Can't wait to order again!,5,2026-01-20T13:49:07.407466
REV-000062,ORD-20260119-735591,CUST-10095,REST-AUH-002,Not bad  not great. Fish Curry were edible. Fish Curry needed more seasoning.,3,2026-01-21T14:13:11.407466
REV-000063,ORD-20260120-858731,CUST-10197,REST-DXB-001,Absolutely amazing Sweet Lassi  Jeera Rice  Naan  and Paneer Tikka! The Jeera Rice was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-22T10:53:30.407466
REV-000065,ORD-20260122-593584,CUST-10424,REST-AUH-002,Wow! Just wow! Butter Chicken  Gulab Jamun (2 pcs)  and Dal Makhani were all fantastic. Dal Makhani was particularly memorable. Can't wait to order again!,5,2026-01-25T20:11:37.407466
REV-000064,ORD-20260120-396976,CUST-10174,REST-DXB-002,Absolutely amazing Fish Curry! The Fish Curry was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-26T21:10:37.407466
REV-000066,ORD-20260124-102640,CUST-10429,REST-DXB-002,Solid experience. Palak Paneer  Chole Bhature  Gulab Jamun (2 pcs)  and Malai Kofta were well-prepared. Gulab Jamun (2 pcs) had great flavor. Minor issues with packaging.,4,2026-01-29T13:36:16.407466
REV-000068,ORD-20260202-172558,CUST-10211,REST-DXB-001,Outstanding experience! The Lamb Rogan Josh and Rasmalai (2 pcs) exceeded all expectations. Rasmalai (2 pcs) was the star of the meal. Will definitely order again!,5,2026-02-03T16:13:09.407466
REV-000067,ORD-20260131-400847,CUST-10450,REST-AUH-001,Solid experience. Chole Bhature and Rasmalai (2 pcs) were well-prepared. Rasmalai (2 pcs) had great flavor. Minor issues with packaging.,4,2026-02-07T11:33:52.407466
REV-000069,ORD-20260204-230890,CUST-10335,REST-DXB-001,Incredible meal! Chicken 65  Samosa (2 pcs)  Paneer Butter Masala  Chicken Biryani  and Malai Kofta arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2026-02-07T15:16:32.407466
REV-000070,ORD-20260204-323672,CUST-10474,REST-DXB-002,Mediocre. Tandoori Roti  Fresh Lime Soda  and Paneer Butter Masala were fine but forgettable. Tandoori Roti didn't stand out.,3,2026-02-09T17:21:48.407466
REV-000072,ORD-20260209-159324,CUST-10300,REST-AUH-002,Good quality food. Dal Makhani were nicely done. Dal Makhani could have been slightly spicier but still good!,4,2026-02-10T20:27:23.407466
REV-000071,ORD-20260208-485094,CUST-10133,REST-AUH-001,Exceptional quality! Ordered Palak Paneer  Vegetable Biryani  Paneer Tikka  and Dal Makhani and everything was delicious. The Paneer Tikka melted in my mouth. Perfect!,5,2026-02-14T16:20:51.407466
REV-000073,ORD-20260214-537501,CUST-10047,REST-AUH-002,Perfect in every way! Malai Kofta  Lamb Rogan Josh  Fish Curry  and Kulfi were all excellent. Lamb Rogan Josh stood out with its rich  authentic taste.,5,2026-02-16T11:59:24.407466
REV-000075,ORD-20260217-699537,CUST-10161,REST-DXB-001,Absolutely amazing Naan  Paneer Tikka  and Jeera Rice! The Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-21T13:06:48.407466
REV-000074,ORD-20260216-462909,CUST-10293,REST-DXB-002,Perfect in every way! Samosa (2 pcs) and Butter Chicken were all excellent. Butter Chicken stood out with its rich  authentic taste.,5,2026-02-23T20:10:27.407466
REV-000076,ORD-20260217-319714,CUST-10269,REST-DXB-002,Exceptional quality! Ordered Chicken Seekh Kebab  Aloo Tikki Chaat  and Sweet Lassi and everything was delicious. The Aloo Tikki Chaat melted in my mouth. Perfect!,5,2026-02-24T14:16:34.407466
REV-000077,ORD-20260218-444538,CUST-10111,REST-AUH-001,Below expectations. Chole Bhature  Naan  and Paneer Butter Masala were underwhelming. Chole Bhature was overcooked and dry.,2,2026-02-25T15:52:10.407466
REV-000079,ORD-20260222-720340,CUST-10193,REST-AUH-002,Enjoyed the Chicken Tikka Masala  Butter Chicken  and Fish Curry! Fish Curry was very good. Portion sizes were generous. Recommend!,4,2026-02-25T16:25:17.407466
REV-000078,ORD-20260222-589459,CUST-10391,REST-SHJ-001,Appalling quality! Chicken Tikka Masala  Fish Curry  and Vegetable Biryani were swimming in oil. Vegetable Biryani was raw inside. Health hazard!,1,2026-03-01T14:22:29.407466
REV-000080,ORD-20260226-781970,CUST-10192,REST-SHJ-001,Hands down the best Chicken 65 I've ever had! Mango Lassi  Fish Curry  and Chicken 65 were all prepared beautifully. Fresh and flavorful!,5,2026-03-05T11:46:01.407466
